gene	GSM1220552	GSM1220553	GSM1220554	GSM1220555	GSM1220556	GSM1220557	GSM1220558	GSM1220559
ENSG00000239920	0.81	0.62	0.26	0.78	0.77	1.06	0.65	0.76
ENSG00000239922	0.00	0.02	0.58	0.02	0.02	0.03	0.01	0.04
ENSG00000239924	0.07	0.07	0.07	0.00	0.00	0.00	0.00	0.00
ENSG00000239926	0.00	0.00	0.00	0.00	0.18	0.00	0.00	0.00
ENSG00000239927	0.00	0.00	0.00	16.40	0.14	21.34	23.08	35.81
ENSG00000239930	0.10	0.00	0.08	0.02	0.20	0.00	0.11	0.18
ENSG00000239932	0.00	0.00	0.12	0.12	0.00	0.00	0.00	0.00
ENSG00000239940	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00
ENSG00000239941	0.00	0.00	0.00	0.00	0.00	0.06	0.05	0.06
ENSG00000239945	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.12
ENSG00000239948	0.00	0.13	0.13	0.00	0.00	0.28	0.11	0.55
ENSG00000239951	556.92	679.45	107.55	16.33	33.13	6.32	64.52	2.59
ENSG00000239953	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000239958	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00
ENSG00000239959	0.03	0.06	0.06	0.09	0.04	0.03	0.11	0.00
ENSG00000239961	0.12	4.20	0.21	0.04	0.77	7.09	0.10	0.27
ENSG00000239964	0.00	0.00	0.11	0.00	0.38	0.00	0.00	0.00
ENSG00000239968	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000239969	2.82	1.98	3.29	1.58	3.07	2.72	3.32	17.78
ENSG00000239974	0.65	2.02	0.56	0.64	0.13	1.15	0.84	1.15
ENSG00000239975	2.26	0.00	0.00	0.00	1.08	0.00	0.00	0.00
ENSG00000239978	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00
ENSG00000239981	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00
ENSG00000239983	1.15	0.00	0.19	0.00	0.22	0.21	0.33	0.00
ENSG00000239992	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000239995	0.06	0.00	0.06	0.00	0.00	0.00	0.00	0.00
ENSG00000239997	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00
ENSG00000239998	0.13	0.05	0.03	0.02	0.00	0.00	0.13	0.14
ENSG00000240002	0.00	0.07	0.06	0.00	0.04	0.00	0.00	0.00
ENSG00000240003	0.15	0.12	0.07	0.04	0.00	0.04	0.00	0.04
ENSG00000240005	2.82	0.32	1.56	0.36	0.48	1.20	0.41	2.37
ENSG00000240006	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000240007	0.00	0.00	0.15	0.66	0.00	0.07	0.41	0.00
ENSG00000240008	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00
ENSG00000240012	0.00	0.00	0.00	0.12	0.14	0.00	0.00	0.00
ENSG00000240015	0.00	0.00	0.00	0.05	0.11	0.05	0.00	0.00
ENSG00000240021	0.43	0.02	0.08	0.03	0.02	0.10	0.06	0.27
ENSG00000240023	0.06	0.00	0.03	0.03	0.03	0.10	0.00	0.07
ENSG00000240024	1.99	3.37	15.57	4.52	1.78	6.19	8.24	6.44
ENSG00000240027	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.00
ENSG00000240032	0.00	0.00	0.00	0.04	0.05	0.00	0.07	0.00
ENSG00000240036	0.25	0.09	0.10	0.00	0.20	0.00	0.08	0.10
ENSG00000240038	34.86	27.63	10.72	26.50	7.83	26.54	4.01	27.66
ENSG00000240040	0.04	1.08	0.16	0.52	0.89	0.02	3.56	0.39
ENSG00000240042	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00
ENSG00000240045	0.00	0.84	0.00	0.00	0.00	0.00	0.00	0.00
ENSG00000240048	0.00	0.01	0.09	0.02	0.01	0.01	0.02	0.00
ENSG00000240050	0.00	0.02	0.06	0.08	0.07	0.13	0.15	0.02
ENSG00000240051	0.00	0.00	0.07	0.00	0.00	0.07	0.00	0.00
ENSG00000240052	0.14	0.00	0.07	0.00	0.00	0.08	0.00	0.00
ENSG00000240053	0.90	5.33	3.95	7.69	4.03	5.41	3.14	0.58
ENSG00000240057	0.67	0.63	2.04	0.69	1.32	0.42	0.41	0.41
ENSG00000240058	0.00	0.00	0.06	0.00	0.00	0.00	0.03	0.00
ENSG00000240063	0.00	0.02	0.04	0.01	0.02	0.03	0.01	0.02
ENSG00000240065	27.64	10.50	26.13	35.84	37.35	20.18	22.62	21.17
ENSG00000240068	0.13	0.00	0.00	0.00	0.08	0.00	0.00	0.08
ENSG00000240069	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.04
ENSG00000240074	0.05	0.00	0.00	0.21	0.37	0.00	0.23	0.00
ENSG00000240083	0.48	0.04	0.07	0.15	0.00	0.21	0.00	0.22
ENSG00000240086	0.00	0.20	0.00	0.05	0.83	0.00	0.00	0.06
ENSG00000240087	0.07	0.00	0.00	0.00	0.04	0.08	0.03	0.00
ENSG00000240089	0.00	0.00	0.00	0.00	0.04	0.03	0.00	0.00
ENSG00000240096	0.16	0.36	0.44	0.39	0.46	0.12	0.30	0.00
ENSG00000240098	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.00
ENSG00000240100	0.30	0.00	0.00	0.22	0.00	0.00	0.00	0.12
ENSG00000240103	32.26	22.45	4.87	19.74	15.69	14.11	13.66	75.54
ENSG00000240106	0.00	0.00	0.12	0.24	0.27	0.00	0.00	0.00
